id,ulasan,tanggal
1933,cepat ya ternyata proses pembelian listrik di aplikasi ini.,2025-10-03
1934,bagus - bagus,2025-10-03
1935,Aplikasi yang sangat mantap untuk masalah listrik ayo buruan di instal👍.,2025-10-03
1936,pln mobile keren,2025-10-03
1937,Pln mobile semakin mudah dan mkin mantaapp gak ribet 👍 👍👍👍👍👍,2025-10-03
1938,sangat mempermudah laporan ngangguan responnya lebih cepat 👍👍👍,2025-10-03
1939,wajib ⭐ ⭐⭐ ⭐ ⭐ sih layanannya keren,2025-10-03
1940,Tidak Puas...dan sangat Menjengkelkan..,2025-10-03
1941,PLN MOBILE foto mandiri dn pembanyaran rekening listrik juga bisa keren pokok PLN mobil mantap,2025-10-03
1942,Sabana iko haaa,2025-10-03
1943,PLN Mobile pelayanan cepat,2025-10-03
1944,PLN ga bikin susah. ga bikin ribet pokoke asyik banget,2025-10-03
1945,lapor gangguan lebih cepat,2025-10-03
1946,Sangat membantu dalam hal pengecekan tagihan listrik dan pengaduaan gangguan kelistrikan,2025-10-03
1947,PLN mobile mantap 👍,2025-10-03
1948,selalu ada perbaikan aplikasinya sangat membantu 👍👍,2025-10-03
1949,masalah listrik cukup dengan PLN mobile,2025-10-03
1950,lebih mudah pake aplikasi PLN mobile pelayanan terbaik,2025-10-03
1951,pemberian bintang pada aplikasi knpa dihilangin,2025-10-03
1952,Aplikasi yang sangat membantu masalah kelistrikan bravo PLN,2025-10-03
1953,PLN the best dah,2025-10-03
1954,aplikasi mantap mempermudah saya pembelian token tanpa harus datang ke oulet. admin nya sangat murah sekali. terimkasih aplikasi pln mudah praktis cepat.,2025-10-03
1955,makin lancar dan mudah,2025-10-03
1956,sangat berguna utk semua keluhan kelistrikan,2025-10-03
1957,Terima kasih PLN mobile mantap mantap luar biaa,2025-10-03
1958,aplikasi PLN mobile sangat membantu pelanggan dalam semua aktivitas kelistrikan,2025-10-03
1959,pakai PLN mobile semakin mudah . . thanks ..,2025-10-03
1960,kalao begini pelayanan pln kami puas,2025-10-03
1961,Pelayanan ramah Pemasangannya cepat,2025-10-03
1962,Aplikasi memudahkan untuk pengaduan dan petugas yantek nya juga ramah dan kompeten 👍👍👍,2025-10-03
1963,aplikasi yang sangat membantu masyarakat..,2025-10-03
1964,memudahkan saya untuk membayar rekening listrik,2025-10-03
1965,pln mobile sangat bagus memudahkan pembelian token listrik dan pelayanan gangguan lebih cepat.,2025-10-03
1966,aplikasi ini sangat membantu dan memudahkan pelanggan,2025-10-03
1967,Aplikasi yang sangat membantu. cepat.tepat.pln makin mantab bngt. terdepan👍👍👍👍👍👍👍👍,2025-10-03
1968,dengan pln mantap sekali,2025-10-03
1969,aplikasi yang sangat membantu,2025-10-03
1970,maeruk aplikasi PLN mobile malabbei masih saki token listrik sabbat malablei segala kebutuhan aplikasi tersebut sangat memuas kan surak sabeu🙏,2025-10-03
1971,aplikasi terbaik...pelayanan cepat,2025-10-03
1972,Aplikasi PLN Mobile sangat membantu dalam pelaporan perihal kelistrikan. Apalagi ada layanan live chatt yg cepat tanggap dalam melayani. Sukses terus buat PLN 👍👍,2025-10-03
1973,Mantab aplikasinya anti lemot dan sering ada promo. Sekarang sdh ada fitur live chat 👍. Sukses trs pln mobile ⭐⭐⭐⭐⭐,2025-10-03
1974,aplikasi sangat membantu,2025-10-03
1975,aplikasi ini sangat membantu dan sangat bermanfaat bagi masyarakat,2025-10-03
1976,Ternyata admin di pln mobile lebih murah loh,2025-10-03
1977,PLN mobile sangat membantu konsumen untuk tambah daya dan pasang baru,2025-10-03
1978,Untuk update Aplikasi nya PLN MOBILE sangat bagus dan lebih baik lagi dari versi sebelumnya.. ditunggu update selanjutnya 👍🏻,2025-10-03
1979,petugas sigap sip sop yes cepat datang ketempat gangguan,2025-10-03
1980,PLN mobile is the best.,2025-10-03
1981,aplikasi pln mobile ini sangat membantu saya dalam melakukan permohonan tambah daya dan pasang baru. terima kasih pln,2025-10-03
1982,informasi dan pengaduan listrik jadi lebih mudah 👍🏻,2025-10-03
1983,Pln mobile fiturnya makin lengkap,2025-10-03
1984,aplikasinya Memeng bagus urusan listrik mau bayar listrik jadi gampang,2025-10-03
1985,pln mobile sangat membantu dan mempermudah laporan gangguan dan pemasangan baru,2025-10-03
1986,aplikasi yg bagus sangat membantu pelanggan ..,2025-10-03
1987,sangat membantu kami,2025-10-03
1988,pelayanan mudah dan simpel ok banget,2025-10-03
1989,harapan saya tdk terjadi tegangan naik turun lagi,2025-10-03
1990,Terima kasih saya bisa mengunggah app PLN mobile.,2025-10-03
1991,Terima kasih PLN dengan aplikasi ini semua jadi mudah jika ada kendala listrik di rumah,2025-10-03
1992,pengaduan MCB rusak lebih mudah melalui pln mobile,2025-10-03
1993,semakin maju pelanyananya semoga makin sukses utk PLN ke depanya,2025-10-03
1994,aplikasih ini sangat bermanfaat dan sangat membantu masyarakat,2025-10-03
1995,Mau pengaduan atau Cek tagihan skr lbih mudah pke aplikasi ini.invoice jg bs di download. sippp.....👌👌,2025-10-03
1996,aplikasi mantab mudah dan cepat 👍👍,2025-10-03
1997,Aplikasinya sangat membatu dan memudahkan untuk bertransaksi.. semoga semakin jaya.. Terima kasih PLN Mobile.. So pasti akan direkomendasikan ke teman-teman dan keluarga. PLN semakin jaya selalu.,2025-10-03
1998,semoga ada promo lagi hln,2025-10-03
1999,Pelayanan nya mantap 👍🏻,2025-10-03
2000,pelayanan super baik,2025-10-03
